theme,title,text
science,"рождение квазара в самой яркой галактике вселенной лишило ее ""топлива""","появление сверхмассивной черной дыры в галактике w2246-0526, ярчайшего ""звездного мегаполиса"" вселенной в первые эпохи после большого взрыва, полностью лишило ее всех запасов нейтрального водорода, в результате чего процессы формирования звезд в ней остановились, сообщает европейская южная обсерватория. ""мы подозревали, что эта галактика находилась на пороге какой-то трансформации, так как она выделяет астрономическое количество энергии в инфракрасном диапазоне, что мы обнаружили при помощи телескопа wise. теперь alma помогла нам открыть гигантский ""котел"" в центре w2246-0526, содержимое которого начало в прямом смысле выкипать"", — заявил питер эйзенхардт (peter eisenhardt) из лаборатории реактивного движения наса в пасадене (сша). галактика w2246-0526 или wise j224607.57-052635.0, удаленная от нас на 12,4 миллиарда световых лет, была открыта в мае 2015 года при помощи инфракрасного телескопа wise. она относится к классу так называемых галактик-""хот-догов"" по той причине, что их окружает толстая ""шуба"" из пыли, делающая такие объекты невидимыми для большинства телескопов. по текущим оценкам астрофизиков, ее яркость превышает светимость солнца примерно в 300 триллионов раз, а совокупная масса всех звезд – примерно в три миллиарда раз. это делает w2246-0526 самой яркой и крупной галактикой своей эпохи, чьи размеры объяснить крайне сложно при помощи современных теорий формирования галактик. "
science,экипаж мкс вышел в открытый космос для проведения ремонтных работ,"инженеры мкс астронавт наса тим копра и британский астронавт тим пик покинули станцию для проведения ремонтных работ на ее поверхности, трансляцию планового выхода в открытый космос ведет сайт наса. официальный старт очередной космической прогулке был дан в 15:48 мкс, когда скафандры астронавтов были переключены на автономное питание. как сообщили в наса накануне начала работ, астронавты будут выполнять задание, когда станция будет находиться в тени земли и солнечные батареи не генерируют энергию. по окончании основного задания, астронавты продолжат прокладывать кабель для последующей установки нового стыковочного узла. планируется, что работы на внешней поверхности станции будут продолжаться около 6,5 часов. для британского астронавта тима пика это дебютный выход в открытый космос, американский астронавт тим копра совершит работы на внешней поверхности мкс в третий раз."
science,ека не намерено сокращать бюджет из-за миграционного кризиса в европе,"европейское космическое агентство (ека) не планирует сокращать свой бюджет в связи с миграционным кризисом в ряде стран-членов организации, так как космос является одним из немногих направлений объединяющих человечество, заявил журналистам в пятницу генеральный директор ека йохан-дитрих вернер.  европейское космическое агентство — международная организация, созданная в 1975 году в целях исследования космоса. ека состоит из 21 постоянных членов, в некоторых проектах также принимает участие канада. штаб-квартира агентства находится в париже. для запусков создаваемых космических аппаратов используется космодром куру во французской гвиане."
science,новый российский пилотируемый космический корабль получил имя,"создаваемый в рф новый пилотируемый космический корабль по итогам всероссийского конкурса получил имя ""федерация"", сообщили в пятницу в пресс-службе предприятия-разработчика корабля – ракетно-космической корпорации ""энергия"". ""сегодня, 15 января 2016 года, жюри под председательством генерального директора госкорпорации ""роскосмос"" игоря комарова подвело итоги конкурса на лучшее название нового пилотируемого транспортного космического корабля россии. победителем стал андрей смокотин из города кемерово, первым предложивший название ""федерация"", — говорится в сообщении. по решению жюри, именно ""федерация"" признана лучшей из трех ""финалистов"" конкурса (""гагарин"", ""федерация"", ""вектор"") и станет официальным названием нового корабля. названия ""гагарин"" и ""вектор"" могут быть использованы в дальнейшем для других проектов отечественной ракетно-космической отрасли. решению жюри предшествовало общественное голосование, в котором приняли участие 35105 человек, которые предложили около 6000 оригинальных вариантов названий, из них оргкомитет конкурса выбрал для общественного голосования десять: ""гагарин"", ""вектор"", ""федерация"", ""астра"", ""галактика"", ""родина"", ""зодиак"", ""мир"", ""звезда"" и ""лидер"". автор названия ""федерация"" получит главный приз – поездку весной 2016 года на космодром байконур и присутствие на запуске транспортного пилотируемого корабля ""союз"" к международной космической станции (мкс). второе и третье места в конкурсе решением жюри присуждены евгению власову из москвы и алексею подмолоду из улан-удэ, которые первыми предложили названия ""гагарин"" и ""вектор"", вышедшие в финал. птк разработки ркк ""энергия"" предназначен для доставки людей и грузов к луне и на орбитальные станции, находящиеся на околоземной орбите. корабль является многоразовым, для его создания применяются новейшие технологии, порой не имеющие аналогов в мировой космонавтике. в частности, возвращаемый аппарат птк будет выполнен из композиционных материалов, предусмотрен многоразовый стыковочный агрегат. современное бортовое электронное оборудование позволит более эффективно решать задачи сближения и стыковки корабля, повысить безопасность экипажа на этапах выведения и спуска на землю. численность экипажа птк составит до четырех человек. в режиме автономного полета корабль сможет находиться до 30 суток, при полете в составе орбитальной станции — до года. общая масса корабля при полете к орбитальной станции будет равна 14,4 тонны (19 тонн при полете к луне), масса возвращаемого аппарата — 9 тонн. длина корабля — 6,1 метра. номинальная перегрузка при спуске — 3 g. для выведения корабля на орбиту планируется использовать ракету-носитель тяжелого класса ""ангара-а5в"" "
science,второй этап миссии exomars могут перенести на 2020 год,"второй этап миссии exomars может быть перенесен на 2020 год в связи с проблемами в финансировании, но на данный момент ека не планирует менять запланированные сроки, заявил журналистам в пятницу генеральный директор европейского космического агенства (ека) йохан-дитрих вернер. ""мы планируем запустить exomars в марте 2016 года. миссия 2018 года — вызов для нас в связи с некоторыми проблемами в инвестировании. если нам не удастся осуществить ее в 2018 году, мы сможем перенести ее на 2020 год, но это не будет так критично, как это может показаться. на данный момент мы не планируем менять сроки"", — сказал он.  демонстрационный десантный модуль schiaparelli предназначен для отработки необходимых технологий входа в атмосферу, спуска, посадки и проведения исследований научными приборами. орбитальный модуль при помощи, в том числе, и российского оборудования, разработанного в институте космических исследований ран (ики ран), будет изучать малые газовые примеси атмосферы и распределение водяного льда в грунте марса. данный модуль также будет ретранслировать данные с демонстрационного десантного модуля миссии 2016 года, десантного модуля и марсохода миссии 2018 года."
science,выход в открытый космос членов экипажа мкс. прямая трансляция,"его поломка, предположительно, стала причиной сбоя в работе одного из каналов электропитания станции."
science,физики: структура пространства-времени может быть похожа на радугу,"польские физики обнаружили, что все модели вселенной, включающие в себя квантовые теории гравитации, будут похожи по структуре пространства-времени на своеобразную ""радугу"", в которой все частицы будут обладать чуть разной энергией, говорится в статье, опубликованной в журнале physical review letters. ""два года назад мы показали, что в наших квантовых космологических моделях разные виды частиц по-разному взаимодействовали со структурой пространства-времени. оказалось, что все на самом деле еще сложнее – мы выяснили, что существует всеобщий механизм, благодаря которому структура пространства-времени для каждой частицы меняется вместе с ее энергией"", — заявил ержи левандовский (jerzy lewandowski) из университета варшавы (польша). левандовский и его коллеги уже несколько лет пытаются объединить две почти несовместимых теории – квантовую теорию гравитации и общую теорию относительности эйнштейна для объяснения того, как притяжение работает на микро и макроуровнях. в соответствии с теорией относительности, сила гравитации проявляется в том, как сильно искривляется пространство и время в окрестностях и под действием любых объектов, обладающей ненулевой массой. авторы статьи описали взаимодействие материи с гравитацией, используя простейшую компьютерную модель, включавшую в себя всего два параметра – гравитационное поле и один тип материи. "
science,ученые нашли эволюционное объяснение склонности человека к суицидам,"склонность некоторых людей совершать самоубийства может иметь эволюционные корни – психологи из сша считают, что суициды являются следствием развития инстинкта самопожертвования у коллективных животных, говорится в статье, опубликованной в журнале psychological review. сегодня на земле существуют десятки видов животных, живущих в колониях или тесных социальных группах – термиты, муравьи, десятки видов грызунов, приматов и прочих млекопитающих. все эти животные-""коллективисты"" обладают одним защитным механизмом, который отсутствует у других живых существ – они умеют жертвовать собой ради блага всего сообщества. к примеру, почти все социальные насекомые и голые землекопы, социальные грызуны, отказываются от размножения в пользу доминантной самки в улье, переключаясь на заботу о ее потомстве, а термиты-воины и рабочие пчелы в прямом смысле жертвуют собой ради защиты колонии. томас джойнер (thomas joiner) из университета штата флорида в таллахасси (сша) и его коллеги, что данный защитный механизм может иметь и негативную обратную сторону, если речь идет о человеке, одном из самых развитых представителей социальных животных. как отмечают ученые, для человека свойственно самопожертвование – тысячи примеров этого можно найти в повседневной жизни и в литературе. пожарники идут в огонь, спасая людей, солдаты рискуют своей жизнью, сражаясь за идеалы или благо нации, а в голодные годы в средневековье многие пожилые старики покидали дома и умирали от голода в лесах, жертвуя собой ради спасения своей семьи. как считает джойнер, суициды могут возникать в результате сбоя этой программы самопожертвования – в таком случае человек ошибочно считает, что его смерть для общества будет ценнее, чем их жизнь, и поэтому совершает самоубийство. в пользу существования подобного сбоя говорит то, что поведение животных, совершающих акт самопожертвования, и человека, задумавшего покончить с жизнью, во многом схоже – они начинают вести себя крайне беспокойно, теряют сон и вес, и демонстрируют ряд других аналогичных изменений в жизни. почему это происходит? как полагают авторы статьи, в появлении сбоев в программе самопожертвования виноваты различные расстройства психики, которыми обладали, по разным оценкам, около 90% всех жертв самоубийств страдали от шизофрении и прочих психических заболеваний. конечно, как признают джойнер и его коллеги, проверить эти выкладки будет довольно затруднительно, учитывая природу изучаемого ими феномена. тем не менее, они полагают, что справедливость их теории можно установить, изучая психологические профили несостоявшихся самоубийц, и опрашивая их на предмет того, как они смотрели на ценность своей жизни и смерти перед попыткой покончить с собой."
science,ученые: занятия за стоячими партами делают студентов умнее,"психологи выяснили, что занятия за так называемыми стоячими партами заметно повышают уровень успеваемости и когнитивные способности студентов, говорится в статье, опубликованной в international journal of environmental research and public health. ""многие учителя часто заявляли, что ученики и студенты ведут себя лучше и больше концентрируются на учебе тогда, когда они стоят, а не сидят за партами. мы провели первую проверку того, как меняются когнитивные способности учеников при переходе на такие парты"", — заявил марк бенден (mark benden) из университета техаса a&m в колледж-стейшен (сша). бенден и его коллеги подтвердили, что подобные парты действительно улучшают интеллектуальные способности и повышают обучаемость студентов, наблюдая за работой мозга нескольких десятков добровольцев из числа первокурсников университета при помощи специального инфракрасного спектроскопа. данный прибор, как объясняют ученые, помогал им следить за тем, какие регионы мозга в передней доле больших полушарий были особенно активны во время различных занятий, используя специальные метки, которые приклеивались ко лбу студентов перед экспериментами. ""результаты тестов показали, что постоянное использование стоячих парт ассоциировалось со значительным улучшением в функционировании рабочей памяти студентов и их способности решать задачи. все эти изменения отражались и в активности их мозга"", — добавляет ведущий автор статьи, ранджана мехта (ranjana mehta). по словам мехты, в последующих экспериментах она и ее команда проверят то, повлияют ли стоячие парты на успеваемость школьников аналогичным образом, а также попытаются понять, стоит ли им переходить на подобные столы."
science,"мамонт женя помог ученым из рф выяснить, когда люди проникли в арктику","российские палеонтологи выяснили, благодаря следам копий и ножей на костях мамонта жени, чьи останки были найдены рядом со станцией сопочная карга, что люди проникли в арктику примерно 45 тысяч лет назад, на 10 тысяч лет раньше общепринятых оценок, говорится в статье, опубликованной в журнале science. в 2012 году алексей тихонов из зоологического института ран в санкт-петербурге и его коллеги проводили раскопки за полярным кругом, в окрестностях метеорологической станции сопочная карга. здесь ученые нашли частично сохранившуюся тушу относительно молодого мамонта возрастом в 15 лет, которого ученые назвали ""женя"". \когда ученые доставили тушу в петербург и начали изучать ее, их ожидало неожиданное открытие – оказалось, что женя пал жертвой древних охотников, живших в сибири в далеком прошлом. на это указывало множество ран на его теле, порезы на его костях и следы копий и прочих орудий труда. еще сильнее ученые удивились в тот момент, когда они измерили возраст жени, вычислив долю радиоактивного углерода-14 в его тканях. оказалось, что этот мамонт жил примерно 44,5 тысяч лет назад, что является крайне неожиданной датой – до сегодняшнего дня антропологи  и палеонтологи считали, что люди проникли в заполярье примерно 30-35 тысяч лет назад, заметно позже, чем жил женя. таким образом, тихонов и его коллеги показали, что человечество проникло на территорию арктики как минимум на 10 тысяч лет раньше, чем мы считали до этого. причиной этого, как считают российские ученые, было то, что на период в 45-40 тысяч лет назад приходится пик расцвета мамонтов, чье изобилие могло привлечь первых жителей заполярья и заставить их переселиться в поймы енисея, лены и других рек сибири. в пользу этого говорит ""недоеденность"" туши – древние сибиряки не стали съедать всего мамонта, а вырезали только самые вкусные части, отделили бивни и оставили остальные куски туши на милость стихий. это говорит о том, что проблем с пищей они не испытывали в то время. помимо уточнения даты заселения сибири, ученым удалось приоткрыть еще одну интересную тайну – они выяснили, как древние  люди охотились на мамонтов. одна из ран на черепе жени указывает на то, что охотники каменного века пытались убить древних гигантов, метя копьем в основание их хоботов. успешное попадание разорвет множество артерий и мамонт быстро умрет в результате потери крови. аналогичную технику охоты сегодня используют жители африки, охотящиеся на слонов при помощи копий."
